"","actor1_missing_locations"
"309","Mayi Mayi Militia (Raia Mutomboki-Musumbu)"
"310","Police Forces of Angola (1975-)"
"311","Mayi Mayi Militia (Fimbo)"
"312","Qeerroo Youth Militia"
"313","NDC-G: Nduma Defence of Congo (Guidon)"
"314","Tonse Alliance"
"315","Jund al-Islam"
"316","Military Forces of Sudan (2019-) Rapid Support Forces"
"317","Area Boys Militia"
"318","Macaswiley Militia"
"319","Rahbat al-Duru' Battalion"
"320","Militia (Muktar Robow)"
"321","Nyatura Militia Group (GAV: Armed Group of Volunteers)"
"322","Junior Vikings Confraternity"
"323","Black Axe Student Militia"
"324","Military Forces of Turkey (2016-)"
"325","Khalid Ibn Al-Walid Battalion"
"326","Military Forces of the United Arab Emirates (2004-)"
"327","Emmateen Martyrs Brigade"
"328","Mayi Mayi Militia (Raia Mutomboki-Ndarumanga)"
"329","Mayi Mayi Militia (Kifuafua)"
"330","GNNT: Nomad and National Guard of Chad"
"331","Mayi Mayi Militia (Charles)"
"332","BDK: Bundu dia Kongo"
"333","Military Forces of Somalia (2017-) Jubaland Security Force"
"334","Military Forces of Somalia (2017-)"
"335","Nawasi Brigade"
"336","CNL: National Congress for Liberation"
"337","Military Forces of the Democratic Republic of Congo (2019-) Naval Forces"
"338","MPC: Movement for Progressive Change"
"339","CMFPR1: Coordination of Patriotic Movements and Forces for Resistance (Plateforme)"
"340","Scorpions Militia"
"341","Militia (Ahmed Duale Haaf)"
"342","Military Forces of Senegal (2012-) Gendarmerie"
"343","Gurbi Communal Militia"
"344","Obinomba Communal Militia"
"345","Umusume Communal Militia"
"346","Red Axe Cult Militia"
"347","Aye Cult Militia"
"348","Military Forces of Sudan (2019-) Abu Tira"
"349","RPG: Rally of the Guinean People"
"350","Mutiny of Military Forces of Ethiopia (1991-2018)"
"351","Military Forces of Gabon (2009-) Gendarmerie"
"352","Poachers"
"353","Subol Al-Salam Brigade"
"354","Mayi Mayi Militia (Raia Mutomboki-Ngubito)"
"355","SPF: Sirte Protection Force"
"356","Al Farouq Brigade"
"357","Sumood Brigade"
"358","FPRC: Popular Front for the Renaissance of Central Africa (Adam Faction)"
"359","Ghaniwa Brigade"
"360","Mutiny Galmudug Administration Militia"
"361","Private Security Forces (International)"
"362","Kieleweke"
"363","Tanga Tanga"
"364","PF: People First"
"365","Militia (Col. Caare)"
"366","MRCD: Rwanda Movement for Democratic Change"
"367","Militia (Suldaan Wabar)"
"368","Military Forces of Mali (2013-2020)"
"369","Mayi Mayi Militia (Kiyandenga)"
"370","Galmudug Administration Militia"
"371","ANCYL: African National Congress Youth League"
"372","Militia (Ahmed Madoobe)"
"373","Al Adl Wa Al Ihssane"
"374","El-Marsa Brigade"
"375","BRSC: Shura Council of Benghazi Revolutionaries"
"376","Antandroy Ethnic Militia (Madagasacar)"
"377","Mayi Mayi Militia (Raia Mutomboki-Cisayura)"
"378","RENAMO: Mozambican National Resistance"
"379","MDM: Mozambique Democratic Movement"
"380","UPDS: Union for Democracy and Social Progress"
"381","SLPP: Sierra Leone People's Party"
"382","Mayi Mayi Militia (Nyatura-FDP)"
"383","Military Forces of Italy (2018-)"
"384","Mayi Mayi Militia (Raia Mutomboki-Kikwama)"
"385","APC: All People's Congress"
"386","Muslim Brotherhood"
"387","Mafia Confraternity"
"388","Lewaa El-Thawra"
"389","FRELIMO: Liberation Front of Mozambique"
"390","Mayi Mayi Militia (Raia Mutomboki-100 Kilo)"
"391","SPF: Southern Protection Force"
"392","Hasam Movement"
"393","CCU: United Congolese Convention"
"394","PPRD: People's Party for Reconstruction and Democracy"
"395","Ode Militia"
"396","IM: Islamic Movement"
"397","Mayi Mayi Militia (Degedege)"
"398","CMFPR2: Coordination of Patriotic Movements and Forces for Resistance (CMA)"
"399","Construction Boys Militia"
"400","Janjaweed"
"401","FMTS: Chadian-Sudanese Joint Forces"
"402","Militia (Sheikh Mehta Robow)"
"403","Militia (Sheikh Mukhtar Robow)"
"404","Military Forces of South Africa (1994-)"
"405","APCLS-M: Alliance of Patriots for a Free and Sovereign Congo (Mapenzi)"
"406","Police Forces of Mozambique (1990-) Mozambican Frontier Guard"
"407","UFR: Union of Revolutionary Forces"
"408","Militia (Yusuf Ahmed Hagar)"
"409","Police Forces of Mali (2013-2020)"
"410","ABC: All Basotho Convention"
"411","Za Gasy Party"
"412","Sinai Tribal Union Militia"
"413","Nyatura Militia Group (Love)"
"414","Icelander Cult Militia"
"415","Mayi Mayi Militia (Mandevu)"
"416","Uqba ibn Nafi Militia"
"417","The Hawks Militia"
"418","FDPC: Democratic Front for the People of the Central African Republic"
"419","Militia (Bienvenu Guiambi)"
"420","Mayi Mayi Militia (Raia Mutomboki-Kokodikoko)"
"421","Nyatura Militia Group (Kavumbi)"
"422","Military Forces of Sudan (1989-2019)"
"423","FM Youth Militia"
"424","Police Forces of Kenya (2013-)"
"425","General Security Service Brigade"
"426","Reclaim Militia"
"427","Militia (Refugees/IDPs)"
"428","MAPAR: Together With Andry Rajoelina"
"429","DPF: Derna Protection Force"
"430","Militia (LT)"
"431","APM: Allied People's Movement"
"432","Mayi Mayi Militia (Nguru)"
"433","Militia (Kamwina Nsapu)"
"434","Militia (Bululu)"
"435","MPF: Murzuq Protection Force"
"436","Mayi Mayi Militia (Mesandu)"
"437","AFORD: Alliance for Democracy"
"438","Mayi Mayi Militia (Patriots of Resistance)"
"439","Bana Mura"
"440","NDC: Nduma Defence of Congo"
"441","AP: Accord Party"
"442","PDS: Senegalese Democratic Party"
"443","Bennoo Bokk Yaakar"
"444","Bonafide Militia"
"445","Nyatura Militia Group (Nzayi)"
